source,target,weight
ABAVIJ,ABAVOP,0.999287475
ABAVIJ,ABAVUV,0.996894412
ABAVIJ,ABAYOU,0.812910097
ABAVIJ,ABIWOX,0.822076908
ABAVIJ,ADIQEL,0.806691363
ABAVIJ,AHETAK,0.99946575
ABAVIJ,AVUCEA,0.814744036
ABAVIJ,AXINAX01,0.813546862
ABAVIJ,AXINIF,0.810522663
ABAVIJ,AZIHOI,0.87901313
ABAVIJ,BAKJEE,0.877530856
ABAVIJ,BAKJII,0.876520994
ABAVIJ,BAKJOO,0.878042191
ABAVIJ,BASJUB,0.812591164
ABAVIJ,BEDPAE,0.82811946
ABAVIJ,BELTUJ,0.805732178
ABAVIJ,BEPRIZ,0.828585622
ABAVIJ,BIKMAL,0.80278856
ABAVIJ,BIKMAL01,0.802525679
ABAVIJ,BIPXIK,0.999505044
ABAVIJ,BIVXAG,0.836353636
ABAVIJ,BOWDIC,0.999523714
ABAVIJ,BOWDOI,0.999442057
ABAVIJ,BOWDUO,0.999451422
ABAVIJ,BUKLOJ,0.884001826
ABAVIJ,BUKLOJ01,0.884704742
ABAVIJ,CANROA,0.84253175
ABAVIJ,CANYIB,0.874730915
ABAVIJ,CAXZOS,0.923330819
ABAVIJ,CEJFOO,0.843307485
ABAVIJ,CEYPUT,0.999022723
ABAVIJ,CEYPUT01,0.99914705
ABAVIJ,CIFMAH,0.81091738
ABAVIJ,CIFMIP,0.814738129
ABAVIJ,CIJBEE,0.999221337
ABAVIJ,CIKPEU,0.828300691
ABAVIJ,CIPLIX,0.811757221
ABAVIJ,CITZIP,0.832888333
ABAVIJ,CIWYUD,0.83543026
ABAVIJ,COWQUC,0.802390703
ABAVIJ,COWRAJ,0.803242345
ABAVIJ,COWREN,0.802846483
ABAVIJ,COWRIR,0.802519686
ABAVIJ,COWROX,0.802261854
ABAVIJ,COXFOL,0.802757692
ABAVIJ,COZMUA,0.814103823
ABAVIJ,CUSBUP,0.826156112
ABAVIJ,CUWNIT,0.812699206
ABAVIJ,CUZBUW,0.88486
ABAVIJ,DAFHEZ,0.802791849
ABAVIJ,DERBIO,0.843109266
ABAVIJ,DIBQEM,0.804836427
ABAVIJ,DIBQIQ,0.812813505
ABAVIJ,DIBQOW,0.809882828
ABAVIJ,DIDBAV,0.923119481
ABAVIJ,DIDBEZ,0.922969129
ABAVIJ,DIDBID,0.922957926
ABAVIJ,DIDBOJ,0.923147199
ABAVIJ,DIQHAO,0.85541938
ABAVIJ,DIQHAO01,0.858482311
ABAVIJ,DIXKOL,0.835514242
ABAVIJ,DUVNIS,0.813715077
ABAVIJ,DUVNIS01,0.813799531
ABAVIJ,EDAJUP,0.813111368
ABAVIJ,EDAJUP01,0.812480064
ABAVIJ,EKEXOI,0.814336349
ABAVIJ,ERUNIQ,0.999506841
ABAVIJ,ERUNOW,0.921246878
ABAVIJ,ERUNUC,0.922253624
ABAVIJ,ESEQUO,0.877797798
ABAVIJ,ETUWOG,0.884318927
ABAVIJ,EXUXEC,0.99962672
ABAVIJ,FAZPED,0.84220709
ABAVIJ,FAZPIH,0.843736991
ABAVIJ,FEVDER,0.878936503
ABAVIJ,FEXCAO01,0.814911187
ABAVIJ,FEXCES,0.81209527
ABAVIJ,FILYAC,0.801393413
ABAVIJ,FILYEG,0.803133739
ABAVIJ,FIXLAC,0.813988114
ABAVIJ,FUMJAZ,0.855793811
ABAVIJ,FUMJAZ01,0.855874768
ABAVIJ,FUVYOL,0.819408388
ABAVIJ,GAGWOB,0.843837415
ABAVIJ,GEPBEK,0.810979342
ABAVIJ,HAJKOU,0.82818961
ABAVIJ,HELDOT,0.809024573
ABAVIJ,HURGEH,0.814529988
ABAVIJ,HURGOR,0.843284362
ABAVIJ,IKOTEH,0.813011989
ABAVIJ,IPURIV,0.866341372
ABAVIJ,ISOCOI,0.824165575
ABAVIJ,JEDVUM,0.811691067
ABAVIJ,JEJWIF,0.813927053
ABAVIJ,JODFEP,0.894405069
ABAVIJ,JODFOZ,0.895421107
ABAVIJ,JODGAM,0.806185306
ABAVIJ,JODGEQ,0.810081152
ABAVIJ,JODGIU,0.922944699
ABAVIJ,JODGOA,0.892184802
ABAVIJ,JOPGIG,0.814538623
ABAVIJ,JOPGOM,0.814709053
ABAVIJ,JOPGUS,0.812900075
ABAVIJ,JOQQAJ,0.883661091
ABAVIJ,KEJWAY,0.999706924
ABAVIJ,KOHDIW,0.842597129
ABAVIJ,KOHLIE,0.842137774
ABAVIJ,LAGWIB,0.884473531
ABAVIJ,LASMAV,0.999324877
ABAVIJ,LIDSIC,0.877828776
ABAVIJ,LOMQOV,0.884837648
ABAVIJ,LULGEF,0.861369558
ABAVIJ,LUWZUZ,0.831674089
ABAVIJ,LUWZUZ01,0.831787174
ABAVIJ,LUWZUZ02,0.831684175
ABAVIJ,LUYSOP,0.880958212
ABAVIJ,MIHJUL,0.809328122
ABAVIJ,MOXDEJ,0.802866149
ABAVIJ,MOXDIN,0.882798331
ABAVIJ,MOXDIN01,0.88276554
ABAVIJ,MOXDOT,0.843619938
ABAVIJ,MOXDOT01,0.84363747
ABAVIJ,NAGRUL,0.822477612
ABAVIJ,NERVEL,0.84365008
ABAVIJ,NERVIP,0.843400921
ABAVIJ,NERVIP01,0.843801869
ABAVIJ,NERVOV,0.843587263
ABAVIJ,NEVVAM,0.833100525
ABAVIJ,NEVVAM01,0.8334625
ABAVIJ,NEVVAM02,0.832975874
ABAVIJ,NEVVIU,0.832738209
ABAVIJ,NEVVIU01,0.832142962
