Refcode;Metal;Density (kg/m3);ASA (m2/g);NASA (m2/g);linker SMILES;Largest Cavity Diameter;Pore Limiting Diameter;Largest Free Sphere
ABAVIJ;Co;1.52493;0.0;107.452;OC(=O)c1ccncc1;4.43864;2.4964;3.9804
ABAVOP;Co;1.56594;0.0;0.0;OC(=O)c1ccncc1;3.53566;2.44164;3.51741
ABAYIM;Ag;3.59396;0.0;0.0;OC(=O)c1nccnc1C(=O)O;1.2109;0.51751;1.2109
ABAYIO;Mn;0.949126;1296.04;234.77;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;11.39487;4.3226;11.39487
ABAYOS;Ag;3.21582;0.0;0.0;OC(=O)c1nccnc1C(=O)O;1.45533;0.64478;1.45533
ABIWOX;Co;2.21634;0.0;0.0;OC(=O)c1cncc(c1)C(=O)O;1.81541;0.7958;1.80785
ABUFOU;Mn;1.61687;0.0;0.0;OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O;2.13608;1.65727;2.11833
ABUFUA;Fe;1.656;0.0;0.0;OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O;2.05942;1.64222;2.05073
ABUWOJ;Zn;1.61779;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;3.23457;1.404;3.20514
ACAJOG;Cu;1.69584;0.0;0.0;OC(=O)c1cc(F)cnc1;3.3423;1.69329;3.34162
ACAKEX;Cu;1.75303;0.0;0.0;OC(=O)c1cc(Cl)cnc1;2.82904;1.09185;2.4209
ACALIB;Er;1.95864;0.0;0.0;OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O;3.83161;1.64823;3.83161
ACAZEK;Ag;3.63928;0.0;0.0;NCCN;1.67292;0.95578;1.29275
ACIBOE;Zn;1.29982;677.925;105.513;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;8.26184;7.04151;8.26184
ACICOH;Ni;1.25034;0.0;464.284;OC(=O)c1ccncc1;5.23439;3.67775;5.17003
ACMPCD;Cd;1.80705;141.141;0.0;O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O;5.66735;4.60927;5.66735
ACOBEC;Sc;1.56642;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;3.36484;2.64983;3.36484
ACODAA;Fe;1.01798;1343.89;0.0;n1[nH]cc(c1)c1c[nH]nc1;6.48152;5.94554;6.48152
ACODED;Cu;1.13147;879.864;0.0;OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;6.08481;3.78801;6.00167
ACODEE;Fe;1.70834;0.0;0.0;n1[nH]cc(c1)c1c[nH]nc1;2.62395;1.50111;2.6185
ACODON;Tb;1.14924;1258.42;0.0;OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;7.12973;4.65534;7.12973
ACOFEG;Eu;1.76159;0.0;0.0;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;2.93411;1.60176;2.93353
ACOFIK;Tb;1.78982;0.0;0.0;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;2.87015;1.596;2.87015
ACOGEF;Cd;1.25952;767.716;0.0;O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1;5.22428;3.94888;4.76827
ACOVEU;Co;2.589;0.0;0.0;O[C@H]([C@H](C(=O)O)O)C(=O)O;1.414;0.90293;1.414
ACUBOP;Cd;1.99443;0.0;0.0;OC(=O)c1cccnc1;2.69745;1.73529;2.68119
ACUBOP01;Cd;1.87584;0.0;0.0;OC(=O)c1cccnc1;2.57554;1.45861;2.56529
ACUREY;Ni;1.24976;0.0;263.901;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;4.84425;3.67908;4.84333
ACUWIH;Mn;1.61795;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1;3.04167;1.17186;3.04167
ACUWON;Co;1.83902;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1;2.6141;1.11559;2.6141
ACUXUU;Ag;1.2025;1172.18;0.0;OC(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;8.02271;7.05592;8.02271
ADAQAA;Zr;0.701762;2799.64;0.0;OC(=O)c1ccc(cc1)c1ccc2c(c1)C1(c3c2ccc(c3)c2ccc(cc2)C(=O)O)c2cc(ccc2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;10.76894;7.5022;10.75927
ADASIJ;Cu;0.673991;2706.94;3.34992;OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;18.24535;5.18216;18.24535
ADASOP;Zn;0.755063;0.0;2047.64;OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;18.03956;3.78957;14.25925
ADATAC;Zn;0.358206;4823.07;9.57448;OC(=O)c1cc(/N=N/c2ccc(cc2)OCc2cc(COc3ccc(cc3)/N=N/c3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2ccc(cc2)/N=N/c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;26.34279;10.27339;16.37218
ADATIK;Cu;0.438933;4177.09;6.22321;O=C(c1ccc(cc1)c1nnn[nH]1)Nc1cc(cc(c1)C(=O)O)C(=O)O;19.96403;10.96992;14.15856
ADATUW;Ag;0.640612;3313.02;0.0;C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C;10.34629;8.86044;10.34629
ADEGEY;Cd;1.02074;1830.19;0.0;OC(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)O)C(=O)O;6.80312;4.92448;6.59725
ADEGIA;Gd;1.96309;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.88073;1.44486;2.87942
ADEGIA01;Gd;1.95734;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.88895;1.25148;2.80568
ADEZUH;Zn;2.3992;0.0;0.0;OC(=O)Cc1nnn[nH]1;2.18101;1.09334;2.18101
ADODOO;Eu;1.28796;673.8;0.0;OC(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COc1ccc(cc1)C(=O)O;5.94494;5.30695;5.61158
ADODUU;Tb;1.31573;660.148;0.0;OC(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COc1ccc(cc1)C(=O)O;5.93079;5.28543;5.58472
ADUROI;Zn;;;;O=C(c1cncc(c1)C(=O)Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O;25.67017;13.8678;25.65463
ADUWIH;Zn;0.745624;2595.67;0.0;OC(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)O)c(COc2cccc(c2)C(=O)O)c(c(c1COc1cccc(c1)C(=O)O)COc1cccc(c1)C(=O)O)COc1cccc(c1)C(=O)O;7.62273;5.59735;7.586
AFENOQ;Co;1.69766;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccnc1C;2.3957;1.04305;2.3957
AFENOQ01;Co;1.69612;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccnc1C;2.40011;1.03846;2.38678
AFOJIO;Gd;2.95208;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;1.66787;1.01995;1.62588
AFOTOF;Eu;1.17091;1138.65;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.60057;5.0347;6.59902
AFOTUL;Sm;1.15518;1167.05;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.68393;5.07216;6.1212
AFOVAT;La;1.13673;1158.53;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.397;4.99848;6.31381
AFOVEX;Ce;1.11606;1211.08;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.68924;5.0823;6.61679
AFOVIB;Gd;1.19217;1107.29;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.59796;4.92425;6.53518
AFOVOH;Nd;1.14378;1161.06;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.65313;4.8196;6.18579
AFOWOK;Cd;1.59355;430.893;0.0;OC(=O)CN(CCN(Cc1ccc(cc1)C(=O)O)CC(=O)O)CCN(Cc1ccc(cc1)C(=O)O)CC(=O)O;7.60617;5.6601;7.06175
AFOYAW;Cu;1.00424;1365.11;0.0;n1ncn(c1)c1ccc(cc1)n1cnnc1;5.94533;4.22739;5.94533
