Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
ABAVIJ,,18,15.6261,7,0.348668,0.390546,0.000024,0,4,0.023288
ABAVUV,,15,13.28274,7,0.345738,0.382184,0.000015,0,4,0.020114
BASJUB,,3,2.441409,8,0.284866,0.307374,0,0,4,0.004296
BIKMAL,,12,9.895356,7,0.326161,0.360222,0.000006,0,4,0.015216
BOWDIC,,24,20.723261,7,0.357542,0.403555,0.000042,0,4,0.029825
CIKPEU,,21,17.60321,7,0.358432,0.40203,0.000031,0,4,0.027003
CUZBUW,,29,25.16938,7,0.370656,0.418002,0.000065,0,4,0.037246
DIBQEM,,16,13.516174,7,0.350578,0.387446,0.000018,0,4,0.020915
EKEXOI,,20,17.251163,7,0.349303,0.389273,0.000036,0,4,0.021387
ERUNIQ,,23,20.158649,7,0.358655,0.40556,0.000042,0,4,0.030585
ESEQUO,,27,23.153766,7,0.365482,0.41045,0.000061,0,4,0.029306
JODGAM,,7,5.957956,8,0.295688,0.323375,0.000015,0,4,0.007544
JODGIU,,21,18.196082,7,0.355556,0.398297,0.000059,0,4,0.027448
JOPGOM,,34,28.593944,7,0.360451,0.411235,0.000091,0,4,0.032118
NEVVIU01,,17,14.33722,6,0.348036,0.384838,0.000018,0,4,0.02135
VEFMAW,,9,7.384111,8,0.31441,0.346234,0.000004,0,4,0.011109
XADDUD,,15,12.336345,8,0.325976,0.364811,0.000033,0,4,0.016302
XAMGUQ,,10,8.328829,8,0.32287,0.354146,0.000011,0,4,0.012939
YODRAM,,13,11.449089,7,0.330465,0.366241,0.000009,0,4,0.017058
ABAVOP,,17,14.699143,7,0.349727,0.386611,0.000043,0,4,0.019431
ABAYOU,,32,27.578573,7,0.390773,0.43881,0.000158,0,4,0.039057
CAXZOS,,15,13.192774,8,0.334301,0.371619,0.000026,0,4,0.01724
CEJFOO,,11,9.273943,7,0.338425,0.37266,0.000023,0,4,0.017387
