Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
ABAVIJ,,206,354.030423,7,0.466146,0.59035,0.000009,0,0,0.029247
ABAVOP,,203,349.257635,7,0.465237,0.588255,0.000009,0,0,0.029021
ABAVUV,,194,334.204994,7,0.462532,0.58197,0.000008,0,0,0.02793
ABAYOU,,289,491.136431,7,0.518841,0.664116,0.000046,0,0,0.034539
ABIWOX,,150,252.303159,7,0.437385,0.54163,0.000009,0,0,0.021403
ADIQEL,,29,46.862251,8,0.322087,0.373364,0,0,0,0.004867
AHETAK,,205,352.499076,7,0.465843,0.589652,0.000009,0,0,0.029193
AVUCEA,,321,543.778039,7,0.531157,0.686462,0.000055,0,0,0.037435
AXINAX01,,220,375.423235,7,0.47829,0.607086,0.000013,0,0,0.030966
AXINIF,,210,358.342764,7,0.473232,0.599102,0.000007,0,0,0.030356
AZIHOI,,165,282.658448,7,0.444169,0.555224,0.000011,0,0,0.02345
BAKJEE,,188,321.157367,7,0.453452,0.573497,0.000015,0,0,0.02618
BAKJII,,182,311.294726,7,0.450031,0.56791,0.000013,0,0,0.025462
BAKJOO,,188,321.283408,7,0.453739,0.57373,0.000015,0,0,0.026184
BASJUB,,31,50.813618,8,0.323543,0.37639,0.000004,0,0,0.004941
BEDPAE,,79,130.829022,7,0.408443,0.483972,0,0,0,0.012238
BELTUJ,,108,180.318029,6,0.403153,0.490293,0.000002,0,0,0.017087
BEPRIZ,,171,289.057408,7,0.445274,0.558949,0.000004,0,0,0.02469
BIKMAL,,117,196.108933,8,0.413634,0.511329,0.000009,0,0,0.01692
BIKMAL01,,117,196.041048,8,0.413634,0.511329,0.000009,0,0,0.01692
BIPXIK,,205,352.506177,7,0.465843,0.589652,0.000009,0,0,0.029193
BIVXAG,,96,161.495606,7,0.404063,0.488278,0.000013,0,0,0.012569
BOWDIC,,205,352.507034,7,0.465843,0.589652,0.000009,0,0,0.029193
BOWDOI,,205,352.490477,7,0.465843,0.589652,0.000009,0,0,0.029193
BOWDUO,,205,352.496487,7,0.465843,0.589652,0.000009,0,0,0.029193
BUKLOJ,,300,515.078305,6,0.540377,0.677165,0.000059,0,0,0.036858
BUKLOJ01,,320,547.478979,6,0.548239,0.690899,0.000065,0,0,0.038406
CANROA,,151,252.291019,7,0.431066,0.537999,0.000002,0,0,0.023218
CANYIB,,175,299.598661,7,0.44806,0.563022,0.000012,0,0,0.024197
CAXZOS,,180,313.803983,7,0.443344,0.562254,0.000013,0,0,0.023924
CEJFOO,,114,191.647053,7,0.40821,0.500848,0.000017,0,0,0.014868
CEYPUT,,198,341.19855,7,0.463731,0.584763,0.000009,0,0,0.028411
CEYPUT01,,198,341.197184,7,0.463731,0.584763,0.000009,0,0,0.028411
CIFMAH,,212,361.686085,7,0.473858,0.600499,0.000008,0,0,0.030492
CIFMIP,,320,542.250995,7,0.530764,0.685764,0.000053,0,0,0.037392
CIJBEE,,202,347.640862,7,0.464935,0.587557,0.000009,0,0,0.028933
CIKPEU,,171,288.972131,7,0.445274,0.558949,0.000004,0,0,0.024566
CIPLIX,,303,513.790244,7,0.521866,0.673171,0.000046,0,0,0.035926
CITZIP,,115,192.063095,7,0.421921,0.512626,0.000003,0,0,0.01849
CIWYUD,,120,200.422208,7,0.423418,0.516351,0.000004,0,0,0.019188
COWQUC,,80,134.290312,7,0.384533,0.463185,0,0,0,0.013138
COWRAJ,,89,148.841485,7,0.3864,0.46947,0,0,0,0.014631
COWREN,,86,143.944541,7,0.385776,0.467375,0,0,0,0.014139
COWRIR,,82,137.513043,7,0.384946,0.464582,0,0,0,0.013472
COWROX,,79,132.668079,7,0.384326,0.462487,0,0,0,0.012971
COXFOL,,203,341.003792,7,0.469508,0.592375,0.000013,0,0,0.028069
COZMUA,,139,230.982794,7,0.426953,0.528455,0.000002,0,0,0.021812
CUSBUP,,67,112.30692,7,0.387236,0.45697,0.000027,0,0,0.009925
CUWNIT,,151,252.170203,7,0.433152,0.539395,0.000005,0,0,0.022593
CUZBUW,,321,549.448946,6,0.548659,0.691597,0.000063,0,0,0.038571
DAFHEZ,,208,349.114583,7,0.474172,0.597962,0.000017,0,0,0.028517
DERBIO,,233,400.811931,7,0.484438,0.617328,0.000017,0,0,0.031763
DIBQEM,,203,343.983773,7,0.472919,0.595215,0.000008,0,0,0.029454
DIBQIQ,,221,376.772787,7,0.47893,0.608017,0.000012,0,0,0.031024
DIBQOW,,208,354.913209,7,0.472296,0.597473,0.000007,0,0,0.030243
DIDBAV,,179,312.082659,7,0.443069,0.561556,0.000012,0,0,0.023901
DIDBEZ,,181,315.295232,7,0.443618,0.562952,0.000012,0,0,0.02412
DIDBID,,181,315.272997,7,0.443618,0.562952,0.000012,0,0,0.02412
DIDBOJ,,179,312.143725,7,0.443069,0.561556,0.000012,0,0,0.023901
DIQHAO,,123,209.998813,7,0.409611,0.507785,0.000005,0,0,0.017947
DIQHAO01,,126,215.576664,7,0.410315,0.50988,0.000006,0,0,0.018134
DIXKOL,,120,200.427134,7,0.423418,0.516351,0.000004,0,0,0.019188
DUVNIS,,310,525.919219,7,0.526858,0.678781,0.00005,0,0,0.036267
DUVNIS01,,311,527.555721,7,0.527246,0.679479,0.00005,0,0,0.036412
EDAJUP,,123,205.86291,7,0.43003,0.522543,0.000006,0,0,0.017674
EDAJUP01,,123,205.689381,7,0.43003,0.522543,0.000006,0,0,0.017674
EKEXOI,,318,538.975402,7,0.529978,0.684368,0.000052,0,0,0.037225
ERUNIQ,,205,352.319932,7,0.465843,0.589652,0.000009,0,0,0.029193
ERUNOW,,179,311.853405,7,0.441158,0.560322,0.00001,0,0,0.023946
ERUNUC,,180,313.714658,7,0.44143,0.56102,0.00001,0,0,0.024067
ESEQUO,,257,442.044027,6,0.515108,0.642249,0.000042,0,0,0.033172
ETUWOG,,318,544.131863,6,0.547819,0.689735,0.000065,0,0,0.038244
EXUXEC,,205,352.52022,7,0.465843,0.589652,0.000009,0,0,0.029193
FAZPED,,111,186.76481,7,0.407281,0.49852,0.000012,0,0,0.014727
FAZPIH,,116,195.027515,7,0.408676,0.502245,0.000017,0,0,0.015059
FEVDER,,168,287.517571,7,0.444997,0.557319,0.000012,0,0,0.02397
FEXCAO01,,158,265.741566,7,0.433414,0.543469,0.000005,0,0,0.021942
FEXCES,,153,257.138774,7,0.432106,0.539977,0.000005,0,0,0.021489
FILYAC,,199,334.371251,7,0.46828,0.589582,0.000013,0,0,0.02768
FILYEG,,210,352.271836,7,0.475432,0.599824,0.000022,0,0,0.028624
FIXLAC,,311,527.634249,7,0.527246,0.679479,0.00005,0,0,0.036412
FUMJAZ,,138,233.3628,8,0.411731,0.521432,0.000007,0,0,0.016902
FUMJAZ01,,138,233.397774,8,0.411731,0.521432,0.000007,0,0,0.016902
FUVYOL,,94,154.366082,7,0.413156,0.494586,0.000002,0,0,0.015106
GAGWOB,,113,189.163654,7,0.430288,0.51812,0.000002,0,0,0.018006
GEPBEK,,131,219.145933,7,0.427463,0.524963,0.000004,0,0,0.019963
HAJKOU,,82,135.646669,7,0.409143,0.486067,0,0,0,0.012898
HELDOT,,208,354.60406,7,0.472296,0.597473,0.000007,0,0,0.030243
HURGEH,,320,542.233428,7,0.530764,0.685764,0.000053,0,0,0.037347
HURGOR,,233,400.879933,7,0.484438,0.617328,0.000017,0,0,0.031763
IKOTEH,,31,50.832403,8,0.323543,0.37639,0.000004,0,0,0.004941
IPURIV,,77,130.103336,8,0.39083,0.470408,0.000001,0,0,0.01235
ISOCOI,,41,67.765871,8,0.35098,0.412866,0.000001,0,0,0.005981
JEDVUM,,303,513.757675,7,0.521866,0.673171,0.000046,0,0,0.035926
JEJWIF,,134,222.743427,7,0.424926,0.524498,0.000001,0,0,0.021533
JODFEP,,85,146.204232,7,0.396237,0.474707,0.000001,0,0,0.013448
JODFOZ,,85,146.622303,7,0.394926,0.473543,0.000001,0,0,0.013489
JODGAM,,44,73.739192,8,0.330563,0.390473,0.000013,0,0,0.00557
JODGEQ,,44,73.853818,8,0.330563,0.390473,0.000013,0,0,0.00557
JODGIU,,181,315.313268,7,0.443618,0.562952,0.000012,0,0,0.02412
JODGOA,,85,146.262041,7,0.394926,0.473543,0.000001,0,0,0.013489
JOPGIG,,319,540.629181,7,0.53037,0.685066,0.000052,0,0,0.037311
JOPGOM,,321,543.860212,7,0.531157,0.686462,0.000054,0,0,0.03743
JOPGUS,,307,520.742369,7,0.523392,0.675964,0.000047,0,0,0.036118
JOQQAJ,,317,542.764884,6,0.546982,0.688804,0.00006,0,0,0.038508
KEJWAY,,206,354.101389,7,0.466146,0.59035,0.000009,0,0,0.029247
